scorer,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn,superanimal_humanbody_rtmpose_x_fasterrcnn_mobilenet_v3_large_fpn
individuals,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0,animal0
bodyparts,nose,nose,nose,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,left_shoulder,left_shoulder,left_shoulder,right_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,left_elbow,right_elbow,right_elbow,right_elbow,left_wrist,left_wrist,left_wrist,right_wrist,right_wrist,right_wrist,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,left_knee,left_knee,left_knee,right_knee,right_knee,right_knee,left_ankle,left_ankle,left_ankle,right_ankle,right_ankle,right_ankle
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,379.03,159.92,1.04,391.65,151.49,1.03,369.91,149.39,1.15,409.19,168.34,0.93,354.48,159.92,0.86,435.14,231.5,0.85,320.81,225.19,0.86,435.14,316.42,0.77,296.97,309.4,0.78,417.6,370.46,0.82,307.49,328.35,0.69,397.26,366.25,0.61,340.45,363.45,0.58,391.65,434.33,0.7,295.56,351.51,0.76,381.83,568.38,0.75,417.6,409.06,0.68
1,379.03,159.7,1.04,391.65,151.27,1.04,369.91,149.16,1.16,409.89,168.84,0.93,354.48,160.41,0.87,435.14,231.42,0.86,321.51,225.09,0.87,435.14,316.5,0.78,296.97,309.47,0.79,417.6,370.64,0.84,307.49,328.45,0.72,396.56,367.12,0.63,339.05,363.61,0.59,391.65,433.92,0.71,294.86,350.95,0.77,381.83,568.22,0.77,417.6,408.61,0.69
2,379.03,160.41,1.04,391.65,151.27,1.03,369.91,149.16,1.15,409.89,168.84,0.92,354.48,159.7,0.86,435.14,231.42,0.84,320.81,225.09,0.85,435.14,316.5,0.77,296.97,309.47,0.78,417.6,370.64,0.82,307.49,328.45,0.71,396.56,366.42,0.6,339.75,362.91,0.57,391.65,433.92,0.7,294.86,350.95,0.76,381.83,568.22,0.75,417.6,408.61,0.68
3,378.86,160.41,1.04,391.52,151.97,1.03,369.72,149.16,1.16,409.8,168.14,0.92,354.25,160.41,0.86,435.11,231.42,0.85,321.2,225.09,0.86,435.11,316.5,0.77,297.3,309.47,0.79,417.53,370.64,0.82,307.84,328.45,0.71,396.44,367.12,0.61,340.19,362.91,0.58,391.52,433.92,0.7,295.19,351.66,0.77,381.67,567.52,0.76,417.53,408.61,0.68
4,379.03,159.92,1.03,391.65,151.49,1.02,369.91,148.69,1.13,409.19,168.34,0.9,354.48,159.92,0.83,435.14,231.5,0.83,320.81,225.89,0.85,435.14,317.12,0.76,296.97,309.4,0.77,417.6,370.46,0.81,308.19,329.06,0.68,396.56,366.25,0.58,340.45,362.04,0.55,391.65,434.33,0.69,295.56,351.51,0.76,381.13,568.38,0.74,417.6,409.06,0.67
5,378.86,160,1.04,391.52,151.56,1.02,369.72,148.75,1.15,409.8,168.44,0.92,354.25,160,0.85,435.11,231.72,0.84,320.5,225.39,0.85,435.11,316.8,0.76,296.59,309.77,0.78,417.53,370.23,0.81,307.84,328.75,0.7,396.44,366.02,0.6,340.89,362.5,0.57,390.81,434.92,0.7,295.19,351.25,0.77,381.67,567.81,0.75,417.53,408.91,0.68
6,378.6,159.64,1.05,391.69,151.37,1.04,369.64,149.31,1.16,409.61,168.59,0.96,354.47,161.02,0.86,435.11,231.27,0.85,321.39,225.08,0.86,435.11,316.69,0.77,297.27,309.8,0.79,417.88,371.1,0.83,308.29,328.4,0.71,397.2,366.97,0.61,340,362.15,0.57,391,434.47,0.7,295.2,351.82,0.78,381.35,566.72,0.76,417.19,408.99,0.68
