participant,half,segment_left_shoulder_right_shoulder,segment_left_hip_right_hip,segment_left_shoulder_left_elbow,segment_right_shoulder_right_elbow,segment_left_elbow_left_wrist,segment_right_elbow_right_wrist,segment_left_hip_left_knee,segment_right_hip_right_knee,segment_left_knee_left_ankle,segment_right_knee_right_ankle,segment_left_shoulder_left_hip,segment_right_shoulder_right_hip,mean_angle_L.Elbow,mean_angle_R.Elbow,mean_angle_L.Shoulder,mean_angle_R.Shoulder,mean_angle_L.Hip,mean_angle_R.Hip,mean_angle_L.Knee,mean_angle_R.Knee,mean_angle_L.Distal arm,mean_angle_R.Distal arm,mean_angle_L.Distal leg,mean_angle_R.Distal leg,mean_angle_Head/Neck
P01,first,121.093,67.5661,94.6406,90.5173,84.4972,82.1235,72.8072,73.9629,105.324,112.801,134.385,131.107,165.909,164.766,19.9687,20.9494,174.153,152.359,167.127,137.977,7.10325,7.83315,5.2433,16.2361,156.095
P02,first,117.632,82.7739,87.8893,83.6724,60.5774,59.9632,83.6117,80.9747,146.452,139.957,131.439,126.573,103.701,106.194,12.0133,17.4217,174.267,153.324,171.763,148.154,50.231,50.5235,2.94253,11.7509,158.926
P03,first,109.026,84.5529,84.6804,76.1432,85.4981,77.5641,77.357,47.8073,160.782,159.311,133.785,128.956,102.284,85.8292,8.53555,16.6021,152.359,105.096,146.688,122.304,39.1923,44.0772,10.8149,13.1427,157.872
P04,first,103.352,70.0427,84.5918,80.9155,74.1862,59.2209,73.8845,67.7191,135.153,135.03,132.646,126.423,151.409,153.157,6.9383,15.8013,134.745,158.135,144.286,155.236,16.4958,16.7439,12.6521,5.67621,167.434
P05,first,106.611,73.4974,82.1501,74.6297,63.3553,42.0007,84.3568,17.302,151.241,152.349,118.565,111.463,114.858,132.944,17.7077,17.7665,150.061,141.797,146.125,142.892,38.6931,31.8153,11.8301,4.05271,168.318
P06,first,118.968,77.7944,92.7233,87.703,64.7101,59.7008,97.7048,43.5553,133.054,154.41,131.76,124.817,94.8002,96.483,13.7032,15.2159,158.462,134.836,145.178,128.022,54.7614,54.6403,14.8418,16.5394,170.188
P07,first,152.573,95.3911,76.0974,90.653,105.574,105.973,98.3044,113.547,194.442,194.656,173.223,164.295,108.397,94.6598,18.7095,26.5789,134.294,128.874,132.006,131.389,28.0594,36.6475,15.8829,17.3139,153.233
P08,first,151.908,86.3786,108.224,102.033,76.3494,50.2637,110.291,124.077,184.018,191.599,158.472,145.07,96.5526,119.047,49.2029,30.8056,169.885,143.131,160.632,125.571,47.9145,38.1013,7.99194,22.6621,162.675
P09,first,135.315,79.1385,89.112,85.3099,76.2632,81.6315,82.0941,76.327,172.457,171.453,149.403,145.209,144.648,132.16,9.97965,12.7022,176.297,164.811,172.588,164.671,19.3279,22.7146,2.39713,4.65633,161.18
P10,first,140.137,103.45,79.9224,94.2188,84.6195,80.1191,104.075,40.56,171.27,195.029,153.28,157.79,86.8989,90.0062,20.326,19.0497,165.343,93.1146,161.528,119.822,44.9674,48.9093,6.92376,8.58985,145.212
