participant,postural_below_0p5Hz,gesture_0p5_to_5Hz,micro_5_to_7p162Hz
P01,30659.6,258.569,0.856422
P02,10150.2,35.0356,0.143428
P03,39018.5,103.38,0.408288
P04,13695.1,69.4655,0.38104
P05,11699.4,77.6325,0.366448
P06,6020.54,53.2477,0.771135
P07,13542.2,29.6612,0.130442
P08,29763.9,34.3612,0.211245
P09,6875.94,68.3048,0.604306
P10,8925.33,72.4226,0.392901
P11,9138.8,52.4084,0.67202
P12,10168.5,69.3212,0.556529
P13,5229.79,67.3654,0.71436
P14,1908.61,42.5724,0.5522
P15,2429.39,39.8297,0.533218
P16,6819.26,45.7057,0.226036
P17,16191.4,164.497,0.164448
P18,3851.2,27.7599,0.229794
P19,9066.4,65.0969,0.32498
P20,4932.8,20.4125,0.194847
P21,2542.95,26.5488,0.267734
P22,15612.7,38.5131,0.464139
P23,6436.24,38.7931,0.11068
P24,11506.9,34.3149,0.166107
P25,4633.98,30.3848,0.166542
P26,12063.8,86.5385,0.394289
P27,2328.7,42.3179,0.328697
P28,703.12,15.1972,0.204304
P29,14899.1,68.1691,0.121965
P30,16237.5,99.8704,0.959712
P31,17210,36.6286,0.188537
P32,14596.9,197.855,4.18697
P33,2328.63,36.7785,0.368363
P34,2858.6,34.0002,0.22632
P35,10984.9,39.9605,0.238769
P36,11033.8,19.8188,0.227491
P37,10743.6,56.5576,0.338054
P38,8507.07,58.4341,0.33715
P39,6146.67,71.7872,0.85451
P40,7412.91,87.5839,1.46226
P41,10578,125.736,1.33545
P42,17222.9,98.0635,0.26184
P43,10227.9,53.9169,0.272349
P44,5699.99,35.0738,0.30208
P45,16950.9,50.3334,0.523321
P46,2079.63,22.5824,0.173569
P47,12357,53.5133,0.258175
P48,7605.69,84.4128,0.886542
P49,9030.12,53.2394,0.264486
P50,4638.88,43.9641,0.654498
P51,9164.68,70.2548,0.785541
P52,3957.18,36.8921,0.183779
P53,32989.3,153.908,0.226799
P54,7911.06,94.8081,0.813338
P55,4199.71,59.2939,0.528843
P56,19660.3,36.0063,0.150392
P57,5872.82,29.9158,0.20188
P58,13197.1,30.5932,0.138756
P59,7595.73,17.0043,0.171369
P60,10928.2,89.7061,0.929524
P61,3059.55,581.21,0.30506
P62,17204.9,104.501,0.606179
P63,7745.29,88.8723,0.312124
P64,3561.61,21.0108,0.102552
P65,6546.03,79.1815,0.300671
P66,12833.5,260.539,2.1267
P67,10337,56.9368,0.596277
P68,39510.4,103.434,0.391777
P69,12114.8,92.6242,0.648179
P70,8726.53,64.5817,0.257829
