row,col,angle_row,angle_col,category,shared_keypoints
0,1,L.Elbow,R.Elbow,Homologous,0
0,2,L.Elbow,L.Shoulder,Intra-limb,2
0,3,L.Elbow,R.Shoulder,Cross-limb,0
0,4,L.Elbow,L.Hip,Cross-limb,1
0,5,L.Elbow,R.Hip,Cross-limb,0
0,6,L.Elbow,L.Knee,Cross-limb,0
0,7,L.Elbow,R.Knee,Cross-limb,0
0,8,L.Elbow,L.Distal arm,Intra-limb,3
0,9,L.Elbow,R.Distal arm,Cross-limb,0
0,10,L.Elbow,L.Distal leg,Cross-limb,0
0,11,L.Elbow,R.Distal leg,Cross-limb,0
0,12,L.Elbow,Head/Neck,Head-body,0
1,2,R.Elbow,L.Shoulder,Cross-limb,0
1,3,R.Elbow,R.Shoulder,Intra-limb,2
1,4,R.Elbow,L.Hip,Cross-limb,0
1,5,R.Elbow,R.Hip,Cross-limb,1
1,6,R.Elbow,L.Knee,Cross-limb,0
1,7,R.Elbow,R.Knee,Cross-limb,0
1,8,R.Elbow,L.Distal arm,Cross-limb,0
1,9,R.Elbow,R.Distal arm,Intra-limb,3
1,10,R.Elbow,L.Distal leg,Cross-limb,0
1,11,R.Elbow,R.Distal leg,Cross-limb,0
1,12,R.Elbow,Head/Neck,Head-body,0
2,3,L.Shoulder,R.Shoulder,Homologous,0
2,4,L.Shoulder,L.Hip,Cross-limb,2
2,5,L.Shoulder,R.Hip,Cross-limb,0
2,6,L.Shoulder,L.Knee,Cross-limb,1
2,7,L.Shoulder,R.Knee,Cross-limb,0
2,8,L.Shoulder,L.Distal arm,Intra-limb,2
2,9,L.Shoulder,R.Distal arm,Cross-limb,0
2,10,L.Shoulder,L.Distal leg,Cross-limb,1
2,11,L.Shoulder,R.Distal leg,Cross-limb,0
2,12,L.Shoulder,Head/Neck,Head-body,0
3,4,R.Shoulder,L.Hip,Cross-limb,0
3,5,R.Shoulder,R.Hip,Cross-limb,2
3,6,R.Shoulder,L.Knee,Cross-limb,0
3,7,R.Shoulder,R.Knee,Cross-limb,1
3,8,R.Shoulder,L.Distal arm,Cross-limb,0
3,9,R.Shoulder,R.Distal arm,Intra-limb,2
3,10,R.Shoulder,L.Distal leg,Cross-limb,0
3,11,R.Shoulder,R.Distal leg,Cross-limb,1
3,12,R.Shoulder,Head/Neck,Head-body,0
4,5,L.Hip,R.Hip,Homologous,0
4,6,L.Hip,L.Knee,Intra-limb,2
4,7,L.Hip,R.Knee,Cross-limb,0
4,8,L.Hip,L.Distal arm,Cross-limb,1
4,9,L.Hip,R.Distal arm,Cross-limb,0
4,10,L.Hip,L.Distal leg,Intra-limb,2
4,11,L.Hip,R.Distal leg,Cross-limb,0
4,12,L.Hip,Head/Neck,Head-body,0
5,6,R.Hip,L.Knee,Cross-limb,0
5,7,R.Hip,R.Knee,Intra-limb,2
5,8,R.Hip,L.Distal arm,Cross-limb,0
5,9,R.Hip,R.Distal arm,Cross-limb,1
5,10,R.Hip,L.Distal leg,Cross-limb,0
5,11,R.Hip,R.Distal leg,Intra-limb,2
5,12,R.Hip,Head/Neck,Head-body,0
6,7,L.Knee,R.Knee,Homologous,0
6,8,L.Knee,L.Distal arm,Cross-limb,0
6,9,L.Knee,R.Distal arm,Cross-limb,0
6,10,L.Knee,L.Distal leg,Intra-limb,3
6,11,L.Knee,R.Distal leg,Cross-limb,0
6,12,L.Knee,Head/Neck,Head-body,0
7,8,R.Knee,L.Distal arm,Cross-limb,0
7,9,R.Knee,R.Distal arm,Cross-limb,0
7,10,R.Knee,L.Distal leg,Cross-limb,0
7,11,R.Knee,R.Distal leg,Intra-limb,3
7,12,R.Knee,Head/Neck,Head-body,0
8,9,L.Distal arm,R.Distal arm,Homologous,0
8,10,L.Distal arm,L.Distal leg,Cross-limb,0
8,11,L.Distal arm,R.Distal leg,Cross-limb,0
8,12,L.Distal arm,Head/Neck,Head-body,0
9,10,R.Distal arm,L.Distal leg,Cross-limb,0
9,11,R.Distal arm,R.Distal leg,Cross-limb,0
9,12,R.Distal arm,Head/Neck,Head-body,0
10,11,L.Distal leg,R.Distal leg,Homologous,0
10,12,L.Distal leg,Head/Neck,Head-body,0
11,12,R.Distal leg,Head/Neck,Head-body,0
